iter	Passed	Remaining
337	609	1194
338	611	1192
339	613	1190
340	614	1188
341	616	1186
342	618	1184
343	619	1181
344	622	1182
345	624	1180
346	626	1178
347	628	1176
348	629	1174
349	631	1172
350	632	1170
351	634	1168
352	636	1166
353	637	1164
354	639	1162
355	641	1160
356	642	1158
357	644	1156
358	646	1153
359	647	1151
360	649	1149
361	651	1147
362	653	1146
363	654	1144
364	656	1142
365	658	1140
366	659	1138
367	661	1136
368	663	1134
369	665	1132
370	666	1130
371	668	1128
372	670	1126
373	672	1124
374	673	1122
375	675	1121
376	677	1118
377	678	1116
378	680	1114
379	681	1112
380	683	1110
381	685	1108
382	687	1106
383	688	1104
384	690	1102
385	691	1100
386	693	1098
387	695	1096
388	697	1094
389	698	1093
390	700	1091
391	702	1089
392	703	1087
393	705	1085
394	707	1084
395	709	1082
396	711	1080
397	712	1078
398	714	1076
399	716	1074
400	718	1072
401	719	1070
402	721	1068
403	723	1066
404	724	1064
405	726	1062
406	728	1060
407	729	1058
408	731	1056
409	732	1054
410	734	1052
411	736	1050
412	737	1048
413	739	1046
414	741	1044
415	742	1042
416	744	1040
417	745	1038
418	747	1036
419	749	1034
420	751	1033
421	752	1031
422	754	1029
423	756	1027
424	758	1026
425	760	1024
426	761	1022
427	763	1020
428	765	1018
429	766	1016
430	768	1014
431	770	1012
432	771	1010
433	773	1009
434	775	1007
435	777	1005
436	778	1003
437	780	1001
438	782	999
439	783	997
440	785	995
441	787	993
442	788	991
443	790	989
444	791	987
445	793	985
446	795	983
447	796	981
448	798	980
449	800	978
450	802	976
451	804	974
452	805	972
453	807	970
454	808	968
455	810	967
456	812	965
457	814	963
458	815	961
459	817	959
460	819	957
461	821	956
462	822	954
463	824	952
464	826	950
465	827	948
466	829	946
467	831	944
468	832	943
469	834	941
470	836	939
471	837	937
472	839	935
473	841	934
474	844	932
475	845	931
476	847	929
477	849	927
478	850	925
479	852	923
480	854	921
481	856	920
482	857	918
483	859	916
484	861	914
485	862	912
486	864	910
487	866	909
488	868	907
489	870	905
490	871	903
491	873	901
492	874	899
493	876	897
494	878	895
495	879	894
496	881	892
497	883	890
498	884	888
499	886	886
500	888	885
501	890	883
502	892	881
503	894	879
504	896	878
505	898	877
506	900	875
507	901	873
508	903	871
509	905	869
510	906	867
511	908	866
512	911	864
513	913	863
514	915	862
515	917	860
516	919	858
517	921	857
518	922	855
519	924	853
520	926	852
521	928	850
522	929	848
523	931	846
524	933	844
525	934	842
526	936	840
527	938	838
528	939	836
529	941	835
530	943	833
531	945	831
532	947	829
533	948	827
534	950	825
535	951	824
536	953	822
537	955	820
538	956	818
539	958	816
540	960	814
541	961	812
542	963	810
543	964	808
544	966	807
545	968	805
546	969	803
547	971	801
548	973	799
549	974	797
550	976	795
551	978	793
552	979	791
553	981	789
554	982	788
555	984	786
556	986	784
557	987	782
558	989	780
559	991	778
560	992	776
561	994	774
562	995	773
563	997	771
564	999	769
565	1001	767
566	1002	765
567	1004	763
568	1005	761
569	1007	759
570	1008	758
571	1010	756
572	1012	754
573	1013	752
574	1015	750
575	1017	748
576	1018	746
577	1020	744
578	1021	743
579	1023	741
580	1025	739
581	1026	737
582	1028	735
583	1030	733
584	1031	732
585	1033	730
586	1035	728
587	1037	726
588	1038	724
589	1040	723
590	1042	721
591	1043	719
592	1045	717
593	1047	715
594	1048	713
595	1050	711
596	1051	710
597	1053	708
598	1055	706
599	1056	704
600	1058	702
601	1060	700
602	1061	699
603	1063	697
604	1065	695
605	1066	693
606	1068	691
607	1069	689
608	1071	688
609	1073	686
610	1074	684
611	1076	682
612	1078	680
613	1079	678
614	1081	677
615	1083	675
616	1084	673
617	1086	671
618	1088	669
619	1089	667
620	1091	666
621	1093	664
622	1095	662
623	1096	660
624	1098	659
625	1099	657
626	1101	655
627	1102	653
628	1104	651
629	1105	649
630	1107	647
631	1109	645
632	1110	644
633	1112	642
634	1113	640
635	1115	638
636	1117	636
637	1118	634
638	1120	632
639	1121	631
640	1123	629
641	1125	627
642	1126	625
643	1128	623
644	1130	621
645	1132	620
646	1133	618
647	1135	616
648	1137	615
649	1138	613
650	1140	611
651	1142	609
652	1144	607
653	1145	606
654	1147	604
655	1149	602
656	1151	600
657	1152	599
658	1154	597
659	1156	595
660	1158	593
661	1159	592
662	1161	590
663	1163	588
664	1164	586
665	1166	584
666	1168	583
667	1169	581
668	1171	579
669	1173	577
670	1174	576
671	1176	574
672	1178	572
673	1180	570
674	1181	568
675	1183	567
676	1185	565
677	1186	563
678	1188	561
679	1190	560
680	1191	558
681	1193	556
682	1195	554
683	1196	552
684	1198	551
685	1200	549
686	1201	547
687	1203	545
688	1205	544
689	1207	542
690	1208	540
691	1210	538
692	1212	537
693	1213	535
694	1215	533
695	1217	531
696	1218	529
697	1220	528
698	1222	526
699	1223	524
700	1225	522
701	1227	520
702	1228	519
703	1230	517
704	1232	515
705	1233	513
706	1235	512
707	1237	510
708	1238	508
709	1240	506
710	1242	504
711	1243	503
712	1245	501
713	1247	499
714	1248	497
715	1250	496
716	1252	494
717	1253	492
718	1255	490
719	1257	489
720	1259	487
721	1260	485
722	1262	483
723	1264	481
724	1265	480
725	1267	478
726	1269	476
727	1270	474
728	1273	473
729	1274	471
730	1276	469
731	1278	467
732	1279	466
733	1281	464
734	1283	462
735	1284	460
736	1286	459
737	1288	457
738	1290	455
739	1291	453
740	1293	452
741	1295	450
742	1297	448
743	1298	446
744	1300	445
745	1302	443
746	1304	441
747	1306	440
748	1307	438
749	1309	436
750	1311	434
751	1313	433
752	1314	431
753	1316	429
754	1318	427
755	1320	426
756	1321	424
757	1323	422
758	1325	420
759	1327	419
760	1329	417
761	1331	415
762	1333	414
763	1334	412
764	1336	410
765	1338	408
766	1340	407
767	1342	405
768	1344	403
769	1346	402
770	1348	400
771	1350	398
772	1351	396
773	1353	395
774	1355	393
775	1357	391
776	1359	390
777	1360	388
778	1362	386
779	1364	384
780	1366	383
781	1367	381
782	1369	379
783	1371	377
784	1373	376
785	1375	374
786	1377	372
787	1379	371
788	1381	369
789	1383	367
790	1385	365
791	1387	364
792	1388	362
793	1390	360
794	1392	359
795	1394	357
796	1396	355
797	1397	353
798	1399	352
799	1401	350
800	1403	348
801	1405	347
802	1407	345
803	1409	343
804	1411	341
805	1413	340
806	1414	338
807	1416	336
808	1418	334
809	1419	333
810	1421	331
811	1423	329
812	1425	327
813	1427	326
814	1428	324
815	1430	322
816	1432	320
817	1433	319
818	1435	317
819	1437	315
820	1439	313
821	1441	312
822	1442	310
823	1444	308
824	1446	306
825	1447	304
826	1449	303
827	1451	301
828	1452	299
829	1454	297
830	1456	296
831	1457	294
832	1459	292
833	1461	290
834	1462	289
835	1464	287
836	1466	285
837	1467	283
838	1469	282
839	1471	280
840	1472	278
841	1474	276
842	1476	274
843	1477	273
844	1479	271
845	1481	269
846	1482	267
847	1484	266
848	1486	264
849	1487	262
850	1489	260
851	1490	258
852	1492	257
853	1494	255
854	1495	253
855	1497	251
856	1499	250
857	1501	248
858	1503	246
859	1504	244
860	1506	243
861	1508	241
862	1510	239
863	1511	237
864	1513	236
865	1515	234
866	1516	232
867	1518	230
868	1519	229
869	1521	227
870	1523	225
871	1524	223
872	1526	222
873	1528	220
874	1529	218
875	1531	216
876	1533	215
877	1534	213
878	1536	211
879	1538	209
880	1539	207
881	1541	206
882	1543	204
883	1544	202
884	1546	200
885	1548	199
886	1549	197
887	1551	195
888	1553	193
889	1555	192
890	1556	190
891	1558	188
892	1560	186
893	1562	185
894	1563	183
895	1565	181
896	1567	179
897	1568	178
898	1570	176
899	1572	174
900	1573	172
901	1575	171
902	1577	169
903	1579	167
904	1580	165
905	1582	164
906	1584	162
907	1585	160
908	1587	158
909	1589	157
910	1590	155
911	1592	153
912	1593	151
913	1595	150
914	1597	148
915	1598	146
916	1600	144
917	1601	143
918	1603	141
919	1605	139
920	1606	137
921	1608	136
922	1610	134
923	1611	132
924	1613	130
925	1615	129
926	1616	127
927	1618	125
928	1620	123
929	1621	122
930	1623	120
931	1625	118
932	1626	116
933	1628	115
934	1629	113
935	1631	111
936	1632	109
937	1634	108
938	1636	106
939	1637	104
940	1639	102
941	1641	101
942	1642	99
943	1644	97
944	1645	95
945	1647	94
946	1649	92
947	1651	90
948	1652	88
949	1654	87
950	1655	85
951	1657	83
952	1659	81
953	1661	80
954	1662	78
955	1664	76
956	1666	74
957	1668	73
958	1669	71
959	1671	69
960	1673	67
961	1674	66
962	1676	64
963	1678	62
964	1680	60
965	1681	59
966	1684	57
967	1685	55
968	1687	53
969	1690	52
970	1691	50
971	1693	48
972	1695	47
973	1697	45
974	1699	43
975	1701	41
976	1703	40
977	1705	38
978	1707	36
979	1708	34
980	1710	33
981	1712	31
982	1714	29
983	1716	27
984	1717	26
985	1720	24
986	1721	22
987	1723	20
988	1725	19
989	1727	17
990	1729	15
991	1731	13
992	1733	12
993	1734	10
994	1736	8
995	1738	6
996	1740	5
997	1742	3
998	1744	1
999	1746	0
